Gene,_SCORE_GRP12_,_SCORE_GRP10_,_SCORE_GRP7_,_SCORE_GRP1_,_SCORE_GRP5_,_SCORE_GRP6_,_SCORE_GRP11_,_SCORE_GRP13_,_SCORE_GRP8_,_SCORE_GRP14_,_SCORE_GRP2_,_SCORE_GRP9_,_SCORE_GRP4_,_SCORE_GRP3_,GRP1|27_WP163|-5.202|Cytoplasmic ribosomal proteins,GRP1|6_R-MMU-975956|-4.283|Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),GRP1|6_R-MMU-1799339|-4.339|SRP-dependent cotranslational protein targeting to membrane,GRP1|6_R-MMU-72689|-4.101|Formation of a pool of free 40S subunits,GRP1|6_R-MMU-156827|-3.865|L13a-mediated translational silencing of Ceruloplasmin expression,GRP1|6_R-MMU-72706|-3.843|GTP hydrolysis and joining of the 60S ribosomal subunit,GRP1|6_R-MMU-927802|-3.799|Nonsense-Mediated Decay (NMD),GRP1|6_R-MMU-975957|-3.799|Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),GRP1|6_R-MMU-72613|-3.693|Eukaryotic Translation Initiation,GRP1|6_R-MMU-72737|-3.693|Cap-dependent Translation Initiation,GRP1|6_R-MMU-6791226|-2.785|Major pathway of rRNA processing in the nucleolus and cytosol,GRP1|6_R-MMU-72312|-2.785|rRNA processing,GRP1|6_R-MMU-8868773|-2.785|rRNA processing in the nucleus and cytosol,GRP1|24_ko03010|-2.747|Ribosome,GRP1|24_mmu03010|-2.735|Ribosome,GRP1|6_R-MMU-72766|-2.246|Translation,GRP2|19_GO:0051604|-2.016|protein maturation,GRP2|19_GO:0016485|-2.540|protein processing,GRP2|19_GO:1903317|-4.908|regulation of protein maturation,GRP2|19_GO:0070613|-5.019|regulation of protein processing,GRP2|19_GO:1903319|-4.247|positive regulation of protein maturation,GRP2|19_GO:0010954|-4.373|positive regulation of protein processing,GRP3|19_GO:0032530|-3.786|regulation of microvillus organization,GRP3|19_GO:0032534|-4.679|regulation of microvillus assembly,GRP3|19_GO:0030033|-3.334|microvillus assembly,GRP3|19_GO:0032528|-3.006|microvillus organization,GRP3|19_GO:0021545|-2.162|cranial nerve development,GRP4|19_GO:0006909|-2.137|phagocytosis,GRP4|19_GO:0030595|-2.182|leukocyte chemotaxis,GRP4|19_GO:0097529|-2.191|myeloid leukocyte migration,GRP4|19_GO:0071621|-2.613|granulocyte chemotaxis,GRP4|19_GO:0030593|-3.035|neutrophil chemotaxis,GRP4|19_GO:1990266|-2.598|neutrophil migration,GRP4|19_GO:0097530|-2.222|granulocyte migration,GRP4|19_GO:0002526|-2.059|acute inflammatory response,GRP4|19_GO:0002673|-3.215|regulation of acute inflammatory response,GRP4|19_GO:0050766|-2.472|positive regulation of phagocytosis,GRP4|19_GO:0002437|-2.672|inflammatory response to antigenic stimulus,GRP4|19_GO:0016068|-4.679|type I hypersensitivity,GRP4|19_GO:0001810|-4.679|regulation of type I hypersensitivity,GRP4|19_GO:0002883|-3.698|regulation of hypersensitivity,GRP4|19_GO:0002524|-3.539|hypersensitivity,GRP4|19_GO:0002864|-3.214|regulation of acute inflammatory response to antigenic stimulus,GRP4|19_GO:0002438|-2.749|acute inflammatory response to antigenic stimulus,GRP4|19_GO:0002478|-2.749|antigen processing and presentation of exogenous peptide antigen,GRP4|19_GO:0002861|-2.539|regulation of inflammatory response to antigenic stimulus,GRP4|19_GO:0019884|-2.507|antigen processing and presentation of exogenous antigen,GRP4|24_mmu05150|-2.118|Staphylococcus aureus infection,GRP4|24_ko05150|-2.185|Staphylococcus aureus infection,GRP5|19_GO:0000226|-3.723|microtubule cytoskeleton organization,GRP5|19_GO:0030031|-3.042|cell projection assembly,GRP5|19_GO:0120031|-3.143|plasma membrane bounded cell projection assembly,GRP5|19_GO:0044782|-2.183|cilium organization,GRP5|19_GO:0001578|-4.560|microtubule bundle formation,GRP5|19_GO:0035082|-4.395|axoneme assembly,GRP6|19_GO:0007018|-2.444|microtubule-based movement,GRP6|19_GO:0003341|-3.895|cilium movement,GRP6|19_GO:0097722|-2.444|sperm motility,GRP6|19_GO:0030317|-2.499|flagellated sperm motility,GRP6|19_GO:0060294|-2.329|cilium movement involved in cell motility,GRP6|19_GO:0001539|-2.233|cilium or flagellum-dependent cell motility,GRP6|19_GO:0060285|-2.233|cilium-dependent cell motility,GRP6|19_GO:0006858|-3.451|extracellular transport,GRP6|19_GO:0003351|-3.565|epithelial cilium movement involved in extracellular fluid movement,GRP6|19_GO:0009855|-2.392|determination of bilateral symmetry,GRP6|19_GO:0007368|-2.512|determination of left/right symmetry,GRP6|19_GO:0009799|-2.379|specification of symmetry,GRP7|19_GO:0071695|-2.246|anatomical structure maturation,GRP7|19_GO:0048469|-2.979|cell maturation,GRP8|19_GO:0005976|-2.888|polysaccharide metabolic process,GRP8|19_GO:0044264|-2.218|cellular polysaccharide metabolic process,GRP9|6_R-MMU-1592389|-2.539|Activation of Matrix Metalloproteinases,GRP10|19_GO:0048872|-2.266|homeostasis of number of cells,GRP10|19_GO:0002262|-2.479|myeloid cell homeostasis,GRP11|19_GO:0008360|-2.222|regulation of cell shape,GRP12|19_GO:0060322|-2.109|head development,GRP13|19_GO:0030178|-2.090|negative regulation of Wnt signaling pathway,GRP14|19_GO:0090174|-2.019|organelle membrane fusion,GRP14|19_GO:0006906|-2.073|vesicle fusion,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_,_SORT_GRP13_,_SORT_GRP14_
12550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,31,0,6,0,0,0,0,0,0,0,0,0,0,3,0
78801,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7,0,0,0,14,2,9,0,0,0,0,0,1,0,0
54141,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0,0,0,0,14,0,0,0,0,0,0,0,0,0
110095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0,0,0,0,0,0,0,2,0,0,0,0,0,0
12273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,11,0,0,0,4,0,0,0,0,0,0,0,3,0,0
20739,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,35,0,0,0,0,0,0,0,0,0,8,1,0,0,0
17387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2,0,1,0,13,0,0,0,0,2,0,0,4,0,0
71870,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,0,0,0,0,2,0,0,0,0,0,0,0,0
319229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0
231214,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.1,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0,0,0,1,7,0,0,0,0,0,0,0,0
